0.0001,9.501834514419448e-31
0.001,6.157729567482616e-31
0.005,3.3672621090229322e-31
0.01,3.739716123952704e-31
0.025,8.153622252680477e-31
0.05,3.250588035146265e-30
0.075,1.4541906915002984e-29
0.1,3.3894515521039716e-29
0.15,3.431954857226585e-28
0.2,1.4145489611327287e-27
0.25,9.255372892872327e-27
0.3,1.558390422598709e-25
0.35,1.5792513307431413e-24
0.4,1.7314506099085127e-23
0.45,2.263731516931148e-22
0.5,2.42395950571035e-21
0.55,1.0216517247212675e-20
0.6,1.0894907851363234e-19
0.65,2.4857350715638517e-18
0.7,9.131374124806653e-17
0.75,5.543560895412517e-15
0.8,5.047722349040516e-13
0.85,8.839294932821707e-11
0.9,1.6084023358554785e-08
0.925,1.958516380832188e-07
0.95,3.6626298982695277e-06
0.975,0.00032856519575337164
0.99,0.004911922647303974
0.995,0.017025196730370118
0.999,0.18572101287716009
0.9999,4.328848802911808e-33
