0.0001,4.426520545493494e-22
0.001,3.4355531774568895e-22
0.005,1.970242744964517e-22
0.01,1.4103468122722582e-22
0.025,1.2273861628662655e-22
0.05,1.5875532646154172e-22
0.075,2.2333845176858597e-22
0.1,3.468936728321431e-22
0.15,9.298572775933398e-22
0.2,3.012205452819111e-21
0.25,1.1773898255281536e-20
0.3,5.560460107593616e-20
0.35,2.8682081811888505e-19
0.4,1.5670701906217492e-18
0.45,9.618501824263223e-18
0.5,6.519714757950403e-17
0.55,4.973019286663047e-16
0.6,4.340484815918683e-15
0.65,4.0878306841017057e-14
0.7,4.146943702657918e-13
0.75,4.816724562444635e-12
0.8,6.752300889588636e-11
0.85,1.2284582046557955e-09
0.9,3.3846695992261654e-08
0.925,2.1228589577080222e-07
0.95,1.5796635442570766e-06
0.975,1.2823566487179882e-05
0.99,4.087978033493077e-05
0.995,0.00046905107031487567
0.999,1.2436900731947574e-15
0.9999,1.5845474830571006e-44
